Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"Telescope 130EQ Newtonian Reflector Telescopes for Adults, Professional Telescopes for Adults Astronomy, Comes with 1.5X Barlow Lens Smartphone Adapter & 13% T Moon Filter",,$499.99,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Telescope-Reflector-Cellphone-Percent-Transmission/dp/B087CRF6CT/ref=sr_1_25?keywords=telescope&qid=1671541514&sr=8-25
CELESTRON - PowerSeeker 80EQ Telescope - Manual German Equatorial Telescope for Beginners - Compact and Portable - BONUS Astronomy Software Package - 80mm Aperture,,$253.94,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Celestron-21048-PowerSeeker-80EQ-Telescope/dp/B0007UQNKO/ref=sr_1_26?keywords=telescope&qid=1671541514&sr=8-26
"Refractor Telescope, 70mm Aperture Telescope with Double Eyepieces, Finderscope, Carrying Bag, Phone Adapter, Wire Control, Moon Filter. Refractor Telescope for Kids and Adults Astronomy",,$95.99,0%,3.5 out of 5 stars,3.5,https://www.amazon.ca/Refractor-Telescope-Eyepieces-Finderscope-Astronomy/dp/B09JB8GZ2L/ref=sr_1_27?keywords=telescope&qid=1671541514&sr=8-27
30X60 Monocular Telescope with Smartphone Holder Tripod Waterproof Compact HD Binoculars Scope for Adults Bird Watching Travelling Hunting Hiking Concert,,$69.99,0%,4.9 out of 5 stars,4.9,https://www.amazon.ca/Monocular-Smartphone-Waterproof-Binoculars-Travelling/dp/B0BDZDTXZ3/ref=sr_1_28?keywords=telescope&qid=1671541514&sr=8-28
"BNISE Telescope for Kids Adults Astronomy Beginners Refractor Telescope 70mm Objective Lens, 400mm Focal Length, with Adjustable Tripod Smartphone Adapter Finder Scope Moon Filter and Carry Bag",,$79.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/BNISE-Telescope-Astronomy-Adjustable-Smartphone/dp/B07V1HN14F/ref=sr_1_29?keywords=telescope&qid=1671541514&sr=8-29
"BNISE 70mm Astronomy Telescope for Kids Adults Beginners, 16~67X Powerful Refractor Telescope with Carry Bag, Portable for Moon Watching, Stargazing and Travel",,$94.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Refractive-Professional-Astronomical-Telescope-Magnification/dp/B07YBBWGR3/ref=sr_1_30?keywords=telescope&qid=1671541514&sr=8-30
"Telescopes for Astronomy Beginners Adults, 200X Refractor Telescope for Astronomy, 400/70mm Portable Telescopes for Kids with Tripod, Phone Adapter, Backpack - Watching Moon, Bird Watching, Scenery",,$129.99,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Telescopes-Astronomy-Beginners-Refractor-Telescope/dp/B08TLM88JW/ref=sr_1_31?keywords=telescope&qid=1671541514&sr=8-31
"Telescope, Astronomy Telescope for Adults, 60mm Aperture 700mm Focal Length, 525X Refractor Astronomical Telescope with Adjustable Tripod",$109.99,$89.99,-18.18%,No reviews,0,https://www.amazon.ca/Telescope-Astronomy-Refractor-Astronomical-Adjustable/dp/B09TF3BPBN/ref=sr_1_32?keywords=telescope&qid=1671541514&sr=8-32
"FREE SOLDIER Telescope for Kids&Astronomy Beginners - 15X-150X High Magnification Astronomical Refractor Telescope Portable Travel Telescope for Adults Great Astronomy Gift for Kids, White",,$89.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/FREE-SOLDIER-Telescope-Astronomy-Beginners/dp/B08KGG7TM3/ref=sr_1_33?keywords=telescope&qid=1671541514&sr=8-33
"12x56 HD Monocular Telescope with Smartphone Adapter, Upgraded Tripod, Hand Strap - High Power Monocular with Clear Low Light Vision for Star Watching - Lightweight Monocular for Bird Watching Hunting",,$148.66,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Monocular-Telescope-Smartphone-Adapter-Upgraded/dp/B0922D4XZV/ref=sr_1_34?keywords=telescope&qid=1671541514&sr=8-34
"200X Telescope for Kids Adults Astronomy, Pro 400/70 FMC Glass Optical Refractor Telescopes, with Adjustable Tripod Phone Adapter Moon Filters Barlow Lens Carrying Bag",,$129.90,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Telescope-Astronomy-Refractor-Telescopes-Adjustable/dp/B07WVGRJPT/ref=sr_1_36?keywords=telescope&qid=1671541514&sr=8-36
"BEBANG Telescope for Kids Adults- 3 Rotatable Eyepieces 70mm Aperture 400mm Refractor Telescopes for Astronomy Beginners, Portable Travel Telescopes with Adjustable Tripod, Phone Adapter…",,$139.99,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/BEBANG-Telescope-Rotatable-Telescopes-Adjustable/dp/B094YCTWTY/ref=sr_1_37?keywords=telescope&qid=1671541514&sr=8-37
"Telescope for Adults Kids Beginners, 3 Rotatable Eyepieces 80mm Aperture HD Refractor Telescope for Astronomy, 16~44X High Magnification, with Phone Photo Adapter, Carry Bag",,$199.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Telescope-Beginners-Astronomical-Refracting-Magnification/dp/B08T176NZD/ref=sr_1_38?keywords=telescope&qid=1671541514&sr=8-38
"Refractor Telescope for Beginner and Adult, 70mm Aperture, Double Eyepieces, 150X Magnification with Finder Scope, Carrying Bag, Phone Adapter, Wire Control, Moon Filter",$84.00,$79.99,-4.77%,2.9 out of 5 stars,2.9,https://www.amazon.ca/Refractor-Telescope-Beginner-Eyepieces-Magnification/dp/B09GY8FGLG/ref=sr_1_39?keywords=telescope&qid=1671541514&sr=8-39
Celestron 21061 AstroMaster 70AZ Refractor Telescope,,$376.62,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Celestron-21061-AstroMaster-Refractor-Telescope/dp/B000MLHMAS/ref=sr_1_40?keywords=telescope&qid=1671541514&sr=8-40
"Gskyer Telescope, 80mm AZ Space Astronomical Refractor Telescope, German Technology Scope",$375.19,$355.10,-5.35%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Gskyer-Telescope-Astronomical-Refractor-Technology/dp/B00XQLV11M/ref=sr_1_41?keywords=telescope&qid=1671541514&sr=8-41
"Upgraded Telescope for Adults Astronomy Kids Beginners,400mm AZ Mount 70mm Aperture, with 3 Rotatable Eyepieces,Refractor Telescope with Adjustable Tripod, Fully Multi-Coated Optics and Portable Bag",,$129.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Telescope-Astronomy-Beginners-Adjustable-Multi-Coated/dp/B09LHLW7NH/ref=sr_1_42?keywords=telescope&qid=1671541514&sr=8-42
"Telescopes for Adults Astronomy, 70mm Aperture 700mm Focus Length Astronomical Telescope for Kids Beginners, 3 Rotatable Eyepieces,Telescope with Tripod, Phone Adapter, Carrying Bag",$259.99,$219.99,-15.39%,3.4 out of 5 stars,3.4,https://www.amazon.ca/Telescopes-Astronomy-Astronomical-Telescope-Beginners/dp/B09J4NYHW1/ref=sr_1_43?keywords=telescope&qid=1671541514&sr=8-43
"MAXLAPTER Telescopes for Astronomy, 16X-201X High Magnification Telescopes for Astronomy Beginners,70mm Aperture 400mm AZ Telescopes with FMC Optics for Kids Adults with Backpack,Phone Adapter,Tripod",$123.99,$94.92,-23.45%,3.8 out of 5 stars,3.8,https://www.amazon.ca/MAXLAPTER-Telescopes-Astronomy-Magnification-Beginners/dp/B095LYMLQT/ref=sr_1_44?keywords=telescope&qid=1671541514&sr=8-44
"BNISE 70mm Portable Refractor Telescope & HD Binoculars, Fully Coated Glass Optics, Ideal Telescope for Kids Beginners, with Adjustable Tripod Smartphone Adapter Moon Filter and Carry Bag",$139.99,$81.99,-41.43%,3.7 out of 5 stars,3.7,https://www.amazon.ca/BNISE-Refractor-Binoculars-Adjustable-Smartphone/dp/B07V1J3N9Z/ref=sr_1_45?keywords=telescope&qid=1671541514&sr=8-45
"USCAMEL Telescope for Adults Astronomy, Ideal Gift for Kids Beginners, 60mm Aperture 500mm AZ Mount, Fully Multi-Coated Optics, with Adjustable Tripod Phone Adapter Carrying Bag(50060 White)",$145.99,$129.99,-10.96%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Telescopes-Astronomy-Professional-Refractor-Multi-Coated/dp/B09FPNHKZ6/ref=sr_1_46?keywords=telescope&qid=1671541514&sr=8-46
"Monocular Telescope,40X60 High Power Monocular Telescope HD Dual Focus Scope, Waterproof Compact Monocular with Smartphone Holder Tripod, for Hunting Bird Watching Camping Outdoor Sporting",,$24.99,0%,3.3 out of 5 stars,3.3,https://www.amazon.ca/Monocular-Telescope-Waterproof-Smartphone-Watching/dp/B09XF8DLTM/ref=sr_1_47?keywords=telescope&qid=1671541514&sr=8-47
"Telescope, Telescopes for Adults, 70mm Aperture 400mm Focal Length, Telescopes for Adults Astronomy Travel Refractor Telescope with Carry Bag, Gift for Kids",$139.99,$128.88,-7.94%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Telescope-Telescopes-Aperture-Astronomy-Beginners/dp/B08HQFP9V3/ref=sr_1_48?keywords=telescope&qid=1671541514&sr=8-48
"Celestron – StarSense Explorer LT 114AZ Smartphone App-Enabled Telescope – Works with StarSense App to Help You Find Stars, Planets & More – 114mm Newtonian Reflector – iPhone/Android Compatible…",,$549.99,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Celestron-StarSense-Smartphone-App-Enabled-Compatible/dp/B083JQBC1G/ref=sr_1_49?keywords=telescope&qid=1671541514&sr=8-49
"Telescope,20X-165X HD Telescop 60mm Aperture 500mm AZ Mount Astronomical Refracting Telescope Adjustable Portable Telescopes with Adjustable Tripod, Phone Adapter, Nylon Bag",,$89.99,0%,No reviews,0,https://www.amazon.ca/Telescope-Astronomical-Refracting-Adjustable-Telescopes/dp/B09SFP28JN/ref=sr_1_50?keywords=telescope&qid=1671541514&sr=8-50
"Reflector Telescope 350X for Beginners, Kids, Adults, 700mm/76mm Starter Scope Astronomical Telescope to View Landscape and Planet, with Tripod, Wire Shutter, Phone Adapter - Black",,$159.99,0%,3.4 out of 5 stars,3.4,https://www.amazon.ca/Reflector-Telescope-Beginners-Astronomical-Landscape/dp/B09D7BDDW7/ref=sr_1_51?keywords=telescope&qid=1671541514&sr=8-51
"FREE SOLDIER Telescope for Kids&Astronomy Beginners - 70mm Aperture Refractor Telescope for Stargazing With Adjustable Tripod Phone Adapter Wireless Remote Perfect Travel Telescope Gift for Kids, Blue",,$89.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/FREE-SOLDIER-Telescope-Astronomy-Beginners/dp/B08KGKQ2VB/ref=sr_1_52?keywords=telescope&qid=1671541514&sr=8-52
"Celestron 31036 Astro Master Lt 76Az Breathtaking Views, Astronomical Telescope, Blue",$173.98,$164.98,-5.17%,4.1 out of 5 stars,4.1,https://www.amazon.ca/Celestron-31036-Breathtaking-Astronomical-Telescope/dp/B007DJZHMW/ref=sr_1_54?keywords=telescope&qid=1671541514&sr=8-54
Coleman AT70 400x70 Telescope (Black),,$91.00,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Coleman-AT70-400x70-Telescope-Black/dp/B004QMA5AS/ref=sr_1_55?keywords=telescope&qid=1671541514&sr=8-55
Telescopes for Astronomy Beginner Adults & Kids Monocular Refractor Telescope 400mm*80mm with Tripod & Smartphone Adapter Off-White,$143.99,$129.99,-9.72%,4.1 out of 5 stars,4.1,https://www.amazon.ca/Telescopes-Astronomy-Monocular-Refractor-Smartphone/dp/B08MVQ1NMJ/ref=sr_1_56?keywords=telescope&qid=1671541514&sr=8-56
"Astronomy Telescope for Kids Beginners Adults, BNISE Portable HD 400/70mm Refractor Telescopes with Binoculars, Adjustable Tripod, Smartphone Adapter, Wire Shutter, Moon Filter and Carry Bag",,$89.99,0%,3.7 out of 5 stars,3.7,https://www.amazon.ca/BNISE-Telescopes-Binoculars-Adjustable-Smartphone/dp/B07ZHGV8JT/ref=sr_1_53?keywords=telescope&qid=1671541535&sr=8-53
"Telescope for Adults Kids Astronomy Beginners, 80mm Aperture 500mm AZ Mount, Astronomical Refractor Professional Telescope with Tripod and Phone Adapter to Observe Moon and Planet",,$219.99,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Telescope-Astronomy-Beginners-Astronomical-Professional/dp/B08KGBW3K3/ref=sr_1_54?keywords=telescope&qid=1671541535&sr=8-54
"JLHT 40X60 Monocular Telescope High Power for Adults with Phone Adapter& Tripod& Hand Strap Low Night Vision Equipped BAK4 Prism Bird Watching Hunting Traveling Concert, Green (JLHT-2201)",,$49.99,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/JLHT-Monocular-Telescope-Traveling-JLHT-2201/dp/B09TQZQHX6/ref=sr_1_55?keywords=telescope&qid=1671541535&sr=8-55
"Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Astronomy Beginners, Adjustable Portable Travel Telescopes for Adults Astronomy with Backpack",$99.99,$89.99,-10.0%,3.0 out of 5 stars,3.0,https://www.amazon.ca/Telescope-Astronomical-Refracting-Adjustable-Telescopes/dp/B09NZMSGJ9/ref=sr_1_56?keywords=telescope&qid=1671541535&sr=8-56
"Telescope for Kids Adults Astronomy Beginners, 400mm Astronomical Refracting Telescopes, 70mm Aperture Starter Scope with Tripod, Moon Filter, Carry Bag，Wire Shutter, Phone Adapter(White)",$124.99,$104.99,-16.0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Telescope-Astronomy-Astronomical-Refracting-Telescopes/dp/B09GP3RJXP/ref=sr_1_57?keywords=telescope&qid=1671541535&sr=8-57
40X60 Monocular Telescope High Power Monocular for Adults with Phone Adapter & Tripod & Hand Strap Low Night Vision Monocular Equipped with BAK4 Prism for Bird Watching Camping Travelling Concert,$119.99,$79.99,-33.34%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Pankoo-Monocular-Telescopes-Watching-Traveling/dp/B088D5JNSN/ref=sr_1_58?keywords=telescope&qid=1671541535&sr=8-58
QUNSE Telescope for Kids Beginners 167X Astronomical Refractor Telescope 500x60mm with Smartphone Adapter/Handbag (167X-Silver),,$89.99,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/QUNSE-Refractor-Telescope-Smartphone-167X-Silver/dp/B08H22M7DJ/ref=sr_1_59?keywords=telescope&qid=1671541535&sr=8-59
"BNISE 70mm Telescope for Astronomy Beginners, Kids and Adults, 16~67X Professional Refractor Telescope with Phone Adapter, Moon Filter and Carry Bag, Portable for Moon Watching, Stargazing and Travel",,$99.99,0%,3.5 out of 5 stars,3.5,https://www.amazon.ca/Refractive-Professional-Astronomical-Telescope-Magnification/dp/B07Z3CCKV9/ref=sr_1_62?keywords=telescope&qid=1671541535&sr=8-62
"USCAMEL Telescope for Kids Adults Astronomy Beginners，200X Astronomy Telescope with Phone Adapter & Adjustable Tripod，Portable Refractor Telescope for Viewing The Moon, Bird Watching, Viewing Scenery",,$115.99,0%,5.0 out of 5 stars,5.0,https://www.amazon.ca/USCAMEL-Telescope-Beginners%EF%BC%8C200X-Adjustable-Tripod%EF%BC%8CPortable/dp/B08YR3NY4Y/ref=sr_1_63?keywords=telescope&qid=1671541535&sr=8-63
"40X60 Monocular Telescope with Smartphone Holder&Tripod, High Power BAK4 Prism Compact Monoculars for Adults Kids HD Monocular Scope for Bird Watching Hunting Hiking Concert Travelling",$99.99,$79.99,-20.0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Binoculars-Pankoo-Portable-Lightweight-Birdwatching%EF%BC%8CViewing/dp/B08RRXDYBX/ref=sr_1_64?keywords=telescope&qid=1671541535&sr=8-64
Victorian Marine Antique Floor Standing Brass Telescope Navy Adjustable Vintage Home Decor,,$139.00,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/collectiblesBuy-Victorian-Standing-Telescope-Adjustable/dp/B081DY7B59/ref=sr_1_65?keywords=telescope&qid=1671541535&sr=8-65
"Telescope 60AZ Refractor Telescope Scope - 60mm Aperture and 700mm Focal Length, Multi-Layer Green Film, with Digiscoping Adapter for Photography",,$199.99,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Telescope-70EQ-Refractor-Scope-Multi-Layer/dp/B07M5S8B5X/ref=sr_1_66?keywords=telescope&qid=1671541535&sr=8-66
"Telescope for Kids Beginners,150X Astronomy Monocular Telescopes 300/70mm with Phone Adapter, Camera Wire Shutter, Moon Filter and Backpack- Adjustable Tall Tripod",,$79.99,0%,No reviews,0,https://www.amazon.ca/Telescope-Beginners-Astronomy-Telescopes-Adjustable/dp/B09JSBTXJS/ref=sr_1_67?keywords=telescope&qid=1671541535&sr=8-67
Celestron 21023 Cometron FirstScope Telescope,,$64.95,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/Celestron-21023-Cometron-FirstScope-Telescope/dp/B00DV6SBRO/ref=sr_1_68?keywords=telescope&qid=1671541535&sr=8-68
Skyoptikst 1400x 150 mm Reflector Newtionan Astronomical Telescope High Power Equatorial Mount Star Planet Moon Saturn Jupiter (T150-1400EQ),,$519.99,0%,No reviews,0,https://www.amazon.ca/Skyoptikst-Reflector-Astronomical-Equatorial-T150-1400EQ/dp/B09X76ZFMH/ref=sr_1_73?keywords=telescope&qid=1671541535&sr=8-73
"LUXUN Telescope for Adult and Kids, Astronomy 80mm Aperture 500mm Refracting AZ Mount Telescope (20X-150X) for Beginners, Telescope with Tripod, Phone Adapter, Carry Bag and Wireless Remote",,$229.99,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/Astronomical-Telescope-Professional-Astronomy-Refractor/dp/B099N4NYY6/ref=sr_1_74?keywords=telescope&qid=1671541535&sr=8-74
LUXUN Telescope for Adult Astronomy Professional Beginner Kid 5-7 8-12 Refractor Telescope Super Telephoto Space Astrophotography Telescope for Viewing Planets High Powered Powerful Telescope,,$101.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/Telescope-Astronomy-Beginners-Astronomical-Refracting/dp/B08S7DSY1J/ref=sr_1_76?keywords=telescope&qid=1671541535&sr=8-76
"Space Astronomical Telescope for Kids Beginners, 150X Telescope with with Tripod, Phone Adapter, Finder Scope, Moon Filter, 2 Options Eyepiece",,$78.99,0%,3.5 out of 5 stars,3.5,https://www.amazon.ca/Astronomical-Telescope-Beginners-Adapter-Eyepiece/dp/B09KN5ZV6C/ref=sr_1_77?keywords=telescope&qid=1671541535&sr=8-77
"12x50 Monocular Telescope for Adults Kids with Smartphone Adapter Tripod Hand Strap, Lightweight High Power BAK-4 Prism & FMC Lens Monoculars for Bird Watching Camping Hiking Travel Scenery",$99.99,$79.99,-20.0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Pankoo-Monoculars-Monocular-Telescope-Smartphone/dp/B08XYTR8HT/ref=sr_1_79?keywords=telescope&qid=1671541535&sr=8-79
"Astronomy Telescope for Adults Beginner 20x-167x High Power with Phone Mount 3X Barlow Lens K9mm K17.5 K25mm Eyepiece Backpack, Ideal for Stargazing Moon Animal Seeing Birding",$129.99,$94.99,-26.93%,3.7 out of 5 stars,3.7,https://www.amazon.ca/Astronomy-Telescope-Beginner-20x-167x-Stargazing/dp/B08M39S3HY/ref=sr_1_80?keywords=telescope&qid=1671541535&sr=8-80
"VINTEAM Phone Telescope for Beginners, 70mm Aperture 400mm Astronomical Refractor Telescope with Fully Multi-Coated Optics, Portable Tripod Phone Adapter to Observe Moon and Landscape",,$121.99,0%,3.6 out of 5 stars,3.6,https://www.amazon.ca/VINTEAM-Telescope-Beginners-Astronomical-Multi-Coated/dp/B09M3LNHBN/ref=sr_1_81?keywords=telescope&qid=1671541535&sr=8-81
Retro High Magnification Brass Tube Telescope with Pirates Handicraft Leather Case Nautical Vintage Sailor Spyglass - CollectiblesBuy,,$50.40,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Magnification-Telescope-Handicraft-Nautical-Spyglass/dp/B07H4GYWFJ/ref=sr_1_82?keywords=telescope&qid=1671541535&sr=8-82
Buumin Telescope HD High Magnification Refractor Telescope with Tripod for Astronomy Adults Kids Beginners Watching Moon Bird Natural Scenery Concert Planet Monocular Astronomical Telescope,,$104.99,0%,No reviews,0,https://www.amazon.ca/Buumin-Telescope-Magnification-Refractor-Astronomical/dp/B09MVV6K95/ref=sr_1_83?keywords=telescope&qid=1671541535&sr=8-83
"Telescope for Kids Adults, 15X-150X Kids Telescope,70mm Aperture 480mm Focal Length Astronomical Refractor Telescope, Portable Scope with 42 inch Aluminum Tripod and Smartphone Adapter Portable",,$88.99,0%,No reviews,0,https://www.amazon.ca/Telescope-15X-150X-Astronomical-Refractor-Smartphone/dp/B09CZ4DK6Z/ref=sr_1_84?keywords=telescope&qid=1671541535&sr=8-84
Celestron 94307 AstroMaster Accessory Kit Telescope (Black),,$107.89,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Celestron-94307-AstroMaster-Accessory-Telescope/dp/B004KMC0UC/ref=sr_1_85?keywords=telescope&qid=1671541535&sr=8-85
Multipurpose Telescope Case - Fits Most Telescopes - 40x11.5x9 inch - Bonus Smart Phone Adapter Included,$131.67,$99.67,-24.3%,4.7 out of 5 stars,4.7,https://www.amazon.ca/Rhino-BagMate-Telescope-Bag-Lances/dp/B07FDCVR2B/ref=sr_1_86?keywords=telescope&qid=1671541535&sr=8-86
Celestron ExploraScope 114AZ Refractor Telescope,,$244.99,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Celestron-ExploraScope-114AZ-Refractor-Telescope/dp/B00VTSIVO4/ref=sr_1_87?keywords=telescope&qid=1671541535&sr=8-87
"SkyWatcher S20530 Star Adventurer Latitude (EQ) Base, Telescope Accessory, Black",$125.58,$107.43,-14.45%,4.5 out of 5 stars,4.5,https://www.amazon.ca/SkyWatcher-S20530-Adventurer-Telescope-Accessory/dp/B00Y1ZDK5W/ref=sr_1_88?keywords=telescope&qid=1671541535&sr=8-88
